2026-04-05 09:56:52,154 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 1.1053
2026-04-05 09:57:05,609 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.5371
2026-04-05 09:57:19,070 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.7857
2026-04-05 09:57:32,528 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.6924
2026-04-05 09:57:54,390 - INFO - Batch 0 | Data: 0.056s | Step: 0.118s | Loss: 0.5805
2026-04-05 09:58:07,845 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 1.1273
2026-04-05 09:58:21,303 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.5733
2026-04-05 09:58:34,763 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.6372
2026-04-05 09:58:48,220 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.4629
2026-04-05 09:59:01,681 - INFO - Batch 250 | Data: 0.001s | Step: 0.119s | Loss: 0.5058
2026-04-05 09:59:15,143 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.5507
2026-04-05 09:59:28,601 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.7472
2026-04-05 09:59:50,434 - INFO - Batch 0 | Data: 0.049s | Step: 0.117s | Loss: 0.7036
2026-04-05 10:00:03,891 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.8338
2026-04-05 10:00:17,347 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.7398
2026-04-05 10:00:30,807 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.5823
2026-04-05 10:00:44,266 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.5289
2026-04-05 10:00:57,727 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.4002
2026-04-05 10:01:11,188 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.4660
2026-04-05 10:01:24,648 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.4580
2026-04-05 10:01:46,554 - INFO - Batch 0 | Data: 0.058s | Step: 0.117s | Loss: 0.5771
2026-04-05 10:02:00,006 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.6203
2026-04-05 10:02:13,466 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.7770
2026-04-05 10:02:26,926 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.5594
2026-04-05 10:02:40,384 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.7068
2026-04-05 10:02:53,840 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.6112
2026-04-05 10:03:07,299 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.4598
2026-04-05 10:03:20,758 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.7794
2026-04-05 10:03:42,748 - INFO - Batch 0 | Data: 0.035s | Step: 0.118s | Loss: 0.5634
2026-04-05 10:03:56,205 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.6464
2026-04-05 10:04:09,662 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.6595
2026-04-05 10:04:23,119 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.5638
2026-04-05 10:04:36,579 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.6351
2026-04-05 10:04:50,035 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.6318
2026-04-05 10:05:03,490 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.4776
2026-04-05 10:05:16,949 - INFO - Batch 350 | Data: 0.000s | Step: 0.118s | Loss: 0.4737
2026-04-05 10:05:38,803 - INFO - Batch 0 | Data: 0.050s | Step: 0.117s | Loss: 0.4486
2026-04-05 10:05:52,258 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.4618
2026-04-05 10:06:05,711 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.6216
2026-04-05 10:06:19,169 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.5506
2026-04-05 10:06:32,627 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.4237
2026-04-05 10:06:46,085 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.4268
2026-04-05 10:06:59,542 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.4355
2026-04-05 10:07:13,004 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.3808
2026-04-05 10:07:34,951 - INFO - Batch 0 | Data: 0.055s | Step: 0.117s | Loss: 0.5290
2026-04-05 10:07:48,404 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.4939
2026-04-05 10:08:01,862 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.3976
2026-04-05 10:08:15,317 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.4851
2026-04-05 10:08:28,772 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.3805
2026-04-05 10:08:42,228 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.7978
2026-04-05 10:08:55,685 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.5335
2026-04-05 10:09:09,142 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.4535
2026-04-05 10:09:31,025 - INFO - Batch 0 | Data: 0.085s | Step: 0.118s | Loss: 0.8705
2026-04-05 10:09:44,478 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.6227
2026-04-05 10:09:57,938 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.6578
2026-04-05 10:10:11,396 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.3651
2026-04-05 10:10:24,859 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.4009
2026-04-05 10:10:38,317 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.4605
2026-04-05 10:10:51,775 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.4626
2026-04-05 10:11:05,231 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.7398
2026-04-05 10:11:27,119 - INFO - Batch 0 | Data: 0.041s | Step: 0.118s | Loss: 0.6670
2026-04-05 10:11:40,574 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.4730
2026-04-05 10:11:54,030 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.4792
